video,playlist,views,idx
bnEPjrsCaYg,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,254,11
H-ym4rSciTM,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,169,12
lwSNTxl4b4Y,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,230,13
dCw-x9ZOljY,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,235,14
44z4NAj-dEw,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,186,15
on1rmY3Tw5U,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,135,16
w6_KvH6fFe0,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,277,17
UFu_shvdwlE,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,131,18
mCxtdohSJZQ,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,203,19
AGFamePtVUI,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,156,20
cvBIpLYtj1U,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,620,21
Rs3Ll0KYfcA,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,228,22
FY1QmZb_LDs,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,323,23
j563wGImp9U,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,194,24
Cx5Z-OslNWE,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,150097,1
t36jZG07MYc,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,12586,2
YiqIkSHSmyc,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,79584,3
or6C4yBk_SY,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,36189,4
Xa2jPbURTjQ,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,21082,5
k095NdrHxY4,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,26577,6
xsP-S7yKaRA,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,19489,7
rYz83XPxiZo,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,26534,8
Y4f7K9XF04k,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,12480,9
NcPUI7aPFhA,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,22298,10
ZUU57Q3CFOU,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,15314,11
Z_5uLqcwDgM,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,9918,12
MuEW9pG9oxE,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,8545,13
d32WV1rKoVk,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,8210,14
z0ykhV15wLw,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6905,15
XhSk_Lw2X_U,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6797,16
z3SmljnD_nQ,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6699,17
AdTvkFsqcDc,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,4972,18
9BYsNpTCZGg,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6362,19
xaSL8yFgqig,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,4741,20
2K7CvGnebO0,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,3915,21
nrDkb2MAwSA,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,4762,22
nvXRJIBOREc,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,5820,23
AeRwohPuUHQ,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,7455,24
wrEcHhoJxjM,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6683,25
feb9j65Iz4w,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,5902,26
k3AiUhwHQ28,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,10035,27
sx00s7nYmRM,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,9513,28
lZrIPRnoGQQ,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6525,29
p-bXJIa7QVI,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,3754,30
1pFv7e9xtHo,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,4422,31
hwDRfkPSXng,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,6904,32
L3-WFKCW-tY,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,8086,33
0Qws8BuK3RQ,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,4295,34
cxTmmasBiC8,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,9414,35
rZS2LGiurKY,PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,10775,36
HaySEpWEsdU,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,3374,1
EZCmSXZnT6Q,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,1265,2
sv6oW4AEVOY,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,638,3
Ek90ivXyusk,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,1134,4
omuDD2rZqlE,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,536,5
YEkx5ZKWM4s,PLUl4u3cNGP60qpzuLPuuKLqmXClgEL2Ng,1123,6
R0tFDXBZvKI,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,12617,1
qyBuzeUYs2M,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,2972,2
7ufoYYj15cU,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,1677,3
uh5zxZCp70c,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,1168,4
cVEj5p9GiBA,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,919,5
RbJV-g9Lob8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,857,6
wPwWtFMkxLo,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,1712,7
f866lUTRXE4,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,697,8
JuvrTQapI_k,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,649,9
4fTOrb1yBFU,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,562,10
FkFYxaWhn8g,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,482,11
fg6QYiiF_c8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,458,12
m_G3z-C1C2g,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,523,13
ydboHy_yNts,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,698,14
cTU43KgGLFw,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,390,15
2IQxigpPMns,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,308,16
pUmMZqwzZ10,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,469,17
AlT3zLxcHmw,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,596,18
OaT9zGXjAmQ,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,375,19
WXlcxHX0R_Y,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,391,20
SlwUHJ4kgjI,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,362,21
CLiy3m2Jt-M,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,456,22
qY5Rr-PTMMc,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,275,23
Bzqpuuoq4bI,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,297,24
wP-ODG_e1i0,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,536,25
xvojobO-1Hw,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,418,26
2JxUXSG9rKo,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,320,27
Fi62zvlY2o4,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,249,28
J5Mg_tqT18g,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,321,29
br3mu-IK9N8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,289,30
EnmOjVUSfdY,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,204,31
uUKJPnwlbRI,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,179,32
7XEUB_dTaK0,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,1622,33
1eIFnKOZ-oY,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,333,34
3YjMdixww4c,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,665,35
Z8jR--1_2e4,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,314,36
r6Tk1-jZxzg,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,288,37
VdRC2raV8fA,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,398,38
BZX8qSrMNyo,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,2103,39
58edfKe-LO8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,328,40
VHVsCE9XmQk,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,173,41
zZfr7Zqfqm4,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,517,42
J6rzqMwDUmM,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,163,43
tjIFsdM-hBA,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,161,44
z3DEmSG8kPk,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,320,45
LiO-HMhxAtY,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,337,46
CcInkh1mKZA,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,256,47
VkVe_wNU6RI,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,208,48
3LQUrpSADx8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,276,49
TSmui37yrL8,PLUl4u3cNGP62WVs95MNq3dQBqY2vGOtQ2,192,50
a2xqcqRYosg,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,7574,1
4-YaJUUTrNw,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,785,2
Tj3Hpf_HMk4,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1106,3
6mndLA1SceA,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,705,4
odOULv5UqAg,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,421,5
xdm3Jz3IgwE,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1256,6
o96K8fkOrG8,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,775,7
-7_Q3G1za30,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,4248,8
vGyHgaXnAMA,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,2327,9
pRmUADgEf98,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,408,10
qNzfiYTo50I,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1376,11
0sGhEhOffUE,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,641,12
-MJrb7xScbU,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,2546,13
LqwvVAtEIx8,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,547,14
Sml2lkWfd1g,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,253,15
yb-cS9xeNqs,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,153,16
1Ed3U4rmyXU,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,718,17
MloLY1k3rLg,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,267,18
zH76mIS0ARs,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,635,19
EmeWBxXlzKA,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,504,20
n9eMl6uLZeU,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,530,21
koHirQQ-Td0,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,195,22
aOiW2XRxEcY,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,628,23
cFZaKWiBD6I,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1866,24
peJUDjHJGb4,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1743,25
80hnG8EH5tA,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,1354,26
5An3DOfA0Zk,PLUl4u3cNGP62EJXwSgoVRfh1tEiSc01bh,454,27
_OZXEb8FxZQ,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,66284,1
dodj1I-IjWM,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,10019,2
-pMowqywuIY,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,6080,3
_bTZbn7M2Hc,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,6532,4
_p3NpyfNp78,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,4393,5
jhIU1msmvaY,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,4762,6
9JhX_UNcQvE,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,6965,7
_85xTt0cU3s,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2775,8
R6RePgr4oBo,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2516,9
Du9eDHwGeAw,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2439,10
A4-kg_F34qc,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1901,11
nYlmkoiq4CI,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1194,12
FXRRP-PB4Bk,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1935,13
2-Td1mID8oQ,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2257,14
tl7q_VZ3eIQ,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2929,15
lr4HqQ_sLO0,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,10709,16
67yCE-yt0T8,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2077,17
Y5oTQvNt47I,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1641,18
KYabRbRR-dU,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2299,19
mas9avjieP0,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2167,20
33kB8JQRpjI,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1296,21
WlZf4aOkNMQ,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,10530,22
N9f0MIzNcmI,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2671,23
NSac7cMQnJw,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1945,24
wULHVefheCU,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1626,25
4BM58741VOg,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2435,26
7Y5me3mwXpA,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,4803,27
loVzNly0Gyw,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1974,28
eRFQL3o4DO4,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1767,29
83lPKkTfGlY,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1991,30
bD0CFnI9eug,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1993,31
qaj4u42XZLg,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1396,32
lw5ka_lJFkU,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,950,33
BiLtNbncW8o,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,912,34
Prx5mnE7BUM,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2324,35
_WwudFI6YRs,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1494,36
oyU5uvPqzkE,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1308,37
dNKAsbdHDCs,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1192,38
kPxBd_S5tsA,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1725,39
qk6l3z5ab0o,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1432,40
FA11OqJYnaE,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,2182,41
nd_sryUc1tc,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,883,42
wWPh_6ex8qw,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1063,43
sv1hK_dLVzE,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,1230,44
IqyTq4n1f2g,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,984,45
TDYMriH63us,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,895,46
OyZbj4_P7JM,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,678,47
xHE5uf-S9Iw,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,767,48
pBvHt3Nea6Q,PLUl4u3cNGP60Zcz8LnCDFI8RPqRhJbb4L,990,49
